GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007E,S0101_C01_008E,S0101_C01_030E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_023E,S0101_C03_007E,S0101_C03_008E,,S0101_C03_030E,S0101_C05_001E,S0101_C05_002E,S0101_C05_020E,S0101_C05_021E,S0101_C05_023E,S0101_C05_007E,S0101_C05_008E,,S0101_C05_030E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Male!!Total population,Estimate!!Male!!Total population!!AGE!!Under 5 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Male!!Total population!!AGE!!25 to 29 years,Estimate!!Male!!Total population!!AGE!!30 to 34 years,,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Female!!Total population,Estimate!!Female!!Total population!!AGE!!Under 5 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Female!!Total population!!AGE!!25 to 29 years,Estimate!!Female!!Total population!!AGE!!30 to 34 years,,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
0400000US38,North Dakota,752201,52820,94926,25972,88250,59905,53601,109910,386183,26850,48934,13522,47108,32642,29397,,49865,366018,25970,45992,12450,41142,27263,24204,,60045
0400000US39,Ohio,11641879,695933,1461232,461003,1086626,778894,726587,1892861,5703967,356158,746767,236227,553040,393824,363447,,825233,5937912,339775,714465,224776,533586,385070,363140,,1067628
0400000US40,Oklahoma,3918137,263992,536998,157716,385430,274761,267020,589230,1941576,135154,274471,81186,199598,139956,135278,,262107,1976561,128838,262527,76530,185832,134805,131742,,327123
0400000US41,Oregon,4081943,231927,488188,148063,363072,286593,285860,682546,2023021,118970,249752,76339,185323,145960,144020,,311769,2058922,112957,238436,71724,177749,140633,141840,,370777
0400000US42,Pennsylvania,12791181,709250,1491997,474083,1194488,860944,806804,2229861,6263189,363116,762694,243871,606696,438627,407723,,968078,6527992,346134,729303,230212,587792,422317,399081,,1261783
0400000US44,Rhode Island,1056611,54587,116478,37804,114554,75054,67823,174210,513332,28137,59596,19311,57221,38292,34148,,74646,543279,26450,56882,18493,57333,36762,33675,,99564
0400000US45,South Carolina,4955925,290090,619683,186478,474672,338196,311266,829083,2405726,147614,315663,95185,245270,167118,153268,,367881,2550199,142476,304020,91293,229402,171078,157998,,461202
0400000US46,South Dakota,864289,60407,119006,33653,84140,57427,56862,136808,435761,30977,60802,17744,43475,30057,29579,,62706,428528,29430,58204,15909,40665,27370,27283,,74102
0400000US47,Tennessee,6651089,403591,840234,257569,618989,463902,429109,1045213,3243678,206076,428738,131783,313831,230485,211847,,460702,3407411,197515,411496,125786,305158,233417,217262,,584511
0400000US48,Texas,27885195,1998869,4085565,1208252,2777150,2069701,2024596,3337814,13849775,1022326,2081956,615659,1434513,1055421,1024764,,1485374,14035420,976543,2003609,592593,1342637,1014280,999832,,1852440
0400000US49,Utah,3045350,252865,518840,147344,344236,229415,220397,320269,1532768,129503,266849,75775,175178,117104,111862,,148095,1512582,123362,251991,71569,169058,112311,108535,,172174
0400000US50,Vermont,624977,29676,66474,22196,66936,36481,36333,113550,307973,15391,34249,11376,34524,18658,18035,,51847,317004,14285,32225,10820,32412,17823,18298,,61703
0400000US51,Virginia,8413774,509955,1042099,315373,815995,589761,580700,1230246,4138574,262126,531339,160621,421009,299119,292064,,543810,4275200,247829,510760,154752,394986,290642,288636,,686436
0400000US53,Washington,7294336,453008,909873,269994,659518,550681,535514,1073499,3645665,232133,465029,138580,343103,285382,273997,,489026,3648671,220875,444844,131414,316415,265299,261517,,584473
0400000US54,West Virginia,1829054,99291,209144,64938,163597,110888,105360,344719,904196,51075,106994,33334,84421,56442,53366,,155721,924858,48216,102150,31604,79176,54446,51994,,188998
0400000US55,Wisconsin,5778394,335920,728244,224779,558562,361461,368443,924695,2872376,172146,372614,114824,284243,185965,186545,,417760,2906018,163774,355630,109955,274319,175496,181898,,506935
