GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_022E,S0101_C01_022E,S0101_C01_007E,S0101_C01_008E,,S0101_C01_028E,S0101_C02_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C02_022E,S0101_C02_007E,S0101_C02_008E,,S0101_C02_028E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_022E,S0101_C03_007E,S0101_C03_008E,,S0101_C03_028E
Geography,Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!30 to 34 years,,Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Male!!Estimate!!Total population,Male!!Estimate!!AGE!!Under 5 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!30 to 34 years,,Male!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Female!!Estimate!!Total population,Female!!Estimate!!AGE!!Under 5 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!30 to 34 years,,Female!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over
0400000US39,Ohio,11586941,695216,1483128,463478,1100759,9.5,6.5,6.2,,1795976,5673893,357455,754628,238304,9.9,6.7,6.3,,777323,5913048,337044,721392,224696,9.1,6.3,6.1,,1017044
0400000US40,Oklahoma,3875589,267416,530956,155024,387559,10,6.9,6.9,,561960,1919995,136320,272639,78720,10.5,7.1,7,,249599,1955594,129069,260094,74313,9.6,6.7,6.7,,312895
0400000US41,Oregon,3982267,230971,481854,147344,366369,9.2,6.8,6.9,,633180,1971512,118291,246439,74917,9.5,7,7,,287841,2010755,112602,235258,72387,8.9,6.6,6.8,,345850
0400000US42,Pennsylvania,12783977,715903,1508509,485791,1227262,9.6,6.6,6.2,,2134924,6255042,362792,769370,250202,10,6.9,6.4,,919491,6528935,346034,737770,235042,9.3,6.4,6,,1214382
0400000US44,Rhode Island,1054491,54834,119157,39016,117049,11.1,6.8,6.2,,166610,511297,28121,60844,19941,11.5,7.2,6.4,,70559,543194,26617,58122,19012,10.8,6.5,6.1,,95602
0400000US45,South Carolina,4834605,290076,613995,183715,478626,9.9,6.6,6.3,,763868,2348338,147945,309981,93934,10.5,6.8,6.4,,335812,2486267,144203,300838,89506,9.4,6.5,6.2,,425152
0400000US46,South Dakota,851058,60425,116595,33191,85106,10,6.6,6.5,,129361,428134,30826,59939,17125,10.3,6.8,6.7,,58654,422924,29605,56249,16071,9.6,6.3,6.4,,70628
0400000US47,Tennessee,6548009,399429,838145,255372,628609,9.6,6.7,6.5,,982201,3191977,204287,427725,130871,9.9,6.8,6.6,,430917,3356032,198006,409436,124173,9.2,6.5,6.4,,553745
0400000US48,Texas,26956435,1967820,3989552,1159127,2749556,10.2,7.3,7.2,,3099990,13379165,1003437,2033633,588683,10.6,7.5,7.3,,1364675,13577270,963986,1955127,570245,9.8,7.1,7.1,,1724313
0400000US49,Utah,2948427,253565,510078,141524,336121,11.4,7.3,7.6,,294843,1483055,130509,262501,72670,11.5,7.4,7.7,,136441,1465372,123091,247648,68872,11.3,7.3,7.5,,159726
