GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007E,S0101_C01_008E,S0101_C01_030E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_023E,S0101_C03_007E,S0101_C03_008E,S0101_C03_030E,S0101_C05_001E,S0101_C05_002E,S0101_C05_020E,S0101_C05_021E,S0101_C05_023E,S0101_C05_007E,S0101_C05_008E,S0101_C05_030E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Male!!Total population,Estimate!!Male!!Total population!!AGE!!Under 5 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Male!!Total population!!AGE!!25 to 29 years,Estimate!!Male!!Total population!!AGE!!30 to 34 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Female!!Total population,Estimate!!Female!!Total population!!AGE!!Under 5 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Female!!Total population!!AGE!!25 to 29 years,Estimate!!Female!!Total population!!AGE!!30 to 34 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
0400000US42,Pennsylvania,12794885,702231,1480368,466983,1155305,861467,832349,2335104,6269142,359858,756824,239540,585557,440585,421899,1021605,6525743,342373,723544,227443,569748,420882,410450,1313499
0400000US44,Rhode Island,1057798,54688,113889,36867,110984,75839,70958,182486,514524,27985,58393,18804,55035,38972,35865,78960,543274,26703,55496,18063,55949,36867,35093,103526
0400000US45,South Carolina,5091517,291651,627319,189635,470286,347963,322548,900696,2468682,149213,319809,96826,242754,172082,157674,400613,2622835,142438,307510,92809,227532,175881,164874,500083
0400000US46,South Dakota,879336,60019,121496,34232,83345,57849,57371,146831,442948,30408,61914,17675,42939,30689,29794,68133,436388,29611,59582,16557,40406,27160,27577,78698
0400000US47,Tennessee,6772268,406986,843159,257745,614531,487887,443958,1107564,3304462,208551,430667,131806,311064,243857,219559,489299,3467806,198435,412492,125939,303467,244030,224399,618265
0400000US48,Texas,28635442,1997007,4147370,1237105,2804109,2130985,2079503,3593369,14221720,1020529,2114999,629311,1445292,1086864,1054435,1603567,14413722,976478,2032371,607794,1358817,1044121,1025068,1989802
0400000US49,Utah,3151239,248602,525334,153633,355198,244528,220309,349010,1586950,127589,269850,78909,181002,125816,111648,162440,1564289,121013,255484,74724,174196,118712,108661,186570
0400000US50,Vermont,624340,29038,65266,21328,66619,37764,36441,120872,308441,15110,33783,10923,34502,19283,18329,55410,315899,13928,31483,10405,32117,18481,18112,65462
0400000US51,Virginia,8509358,508122,1044177,316298,808812,595787,585122,1314345,4186543,260193,533212,161905,417078,303018,294023,582400,4322815,247929,510965,154393,391734,292769,291099,731945
0400000US53,Washington,7512465,454612,928096,270761,659225,580547,566149,1160604,3759007,233162,474342,137974,343084,302992,291790,529372,3753458,221450,453754,132787,316141,277555,274359,631232
0400000US54,West Virginia,1807426,95692,205759,63766,158340,111330,103141,360246,893743,49003,105270,32717,82367,57034,52268,163561,913683,46689,100489,31049,75973,54296,50873,196685
